academic_year,school_id,proficiency_level,number_of_students,pct,attending_district_institutional_id,district,school
2018-2019,707,4,2,0.1,2113,Adrian SD 61,Adrian Elementary School
2018-2019,707,3,7,0.35,2113,Adrian SD 61,Adrian Elementary School
2018-2019,707,2,6,0.3,2113,Adrian SD 61,Adrian Elementary School
2018-2019,707,1,5,0.25,2113,Adrian SD 61,Adrian Elementary School
2018-2019,17,4,NA,NA,1899,Alsea SD 7J,Alsea Charter School
2018-2019,17,3,NA,NA,1899,Alsea SD 7J,Alsea Charter School
2018-2019,17,2,NA,NA,1899,Alsea SD 7J,Alsea Charter School
2018-2019,17,1,NA,NA,1899,Alsea SD 7J,Alsea Charter School
2018-2019,1208,4,7,0.15217391304347827,2252,Amity SD 4J,Amity Elementary School
2018-2019,1208,3,17,0.3695652173913043,2252,Amity SD 4J,Amity Elementary School
2018-2019,1208,2,9,0.1956521739130435,2252,Amity SD 4J,Amity Elementary School
2018-2019,1208,1,13,0.2826086956521739,2252,Amity SD 4J,Amity Elementary School
2018-2019,4505,4,NA,NA,2252,Amity SD 4J,Eola Hills Charter School
2018-2019,4505,3,NA,NA,2252,Amity SD 4J,Eola Hills Charter School
2018-2019,4505,2,NA,NA,2252,Amity SD 4J,Eola Hills Charter School
2018-2019,4505,1,NA,NA,2252,Amity SD 4J,Eola Hills Charter School
2018-2019,705,4,2,0.15384615384615385,2111,Annex SD 29,Annex Charter School
2018-2019,705,3,6,0.46153846153846156,2111,Annex SD 29,Annex Charter School
2018-2019,705,2,3,0.23076923076923078,2111,Annex SD 29,Annex Charter School
2018-2019,705,1,2,0.15384615384615385,2111,Annex SD 29,Annex Charter School
2018-2019,323,4,5,0.35714285714285715,2005,Arlington SD 3,Arlington Community Charter School
2018-2019,323,3,4,0.2857142857142857,2005,Arlington SD 3,Arlington Community Charter School
2018-2019,323,2,4,0.2857142857142857,2005,Arlington SD 3,Arlington Community Charter School
2018-2019,323,1,1,0.07142857142857142,2005,Arlington SD 3,Arlington Community Charter School
2018-2019,711,4,NA,NA,2115,Arock SD 81,W W Jones Elementary School
2018-2019,711,3,NA,NA,2115,Arock SD 81,W W Jones Elementary School
2018-2019,711,2,NA,NA,2115,Arock SD 81,W W Jones Elementary School
2018-2019,711,1,NA,NA,2115,Arock SD 81,W W Jones Elementary School
2018-2019,375,4,18,0.3673469387755102,2041,Ashland SD 5,Bellview Elementary School
2018-2019,375,3,17,0.3469387755102041,2041,Ashland SD 5,Bellview Elementary School
2018-2019,375,2,6,0.12244897959183673,2041,Ashland SD 5,Bellview Elementary School
2018-2019,375,1,8,0.16326530612244897,2041,Ashland SD 5,Bellview Elementary School
2018-2019,377,4,15,0.30612244897959184,2041,Ashland SD 5,Helman Elementary School
2018-2019,377,3,22,0.4489795918367347,2041,Ashland SD 5,Helman Elementary School
2018-2019,377,2,9,0.1836734693877551,2041,Ashland SD 5,Helman Elementary School
2018-2019,377,1,3,0.061224489795918366,2041,Ashland SD 5,Helman Elementary School
2018-2019,4476,4,2,0.18181818181818182,2041,Ashland SD 5,John Muir Elementary School
2018-2019,4476,3,0,0,2041,Ashland SD 5,John Muir Elementary School
2018-2019,4476,2,6,0.5454545454545454,2041,Ashland SD 5,John Muir Elementary School
2018-2019,4476,1,3,0.2727272727272727,2041,Ashland SD 5,John Muir Elementary School
2018-2019,379,4,19,0.2835820895522388,2041,Ashland SD 5,Walker Elementary School
2018-2019,379,3,22,0.3283582089552239,2041,Ashland SD 5,Walker Elementary School
2018-2019,379,2,16,0.23880597014925373,2041,Ashland SD 5,Walker Elementary School
2018-2019,379,1,10,0.14925373134328357,2041,Ashland SD 5,Walker Elementary School
2018-2019,427,4,NA,NA,2051,Ashwood SD 8,Ashwood Elementary School
2018-2019,427,3,NA,NA,2051,Ashwood SD 8,Ashwood Elementary School
2018-2019,427,2,NA,NA,2051,Ashwood SD 8,Ashwood Elementary School
2018-2019,427,1,NA,NA,2051,Ashwood SD 8,Ashwood Elementary School
2018-2019,147,4,22,0.15714285714285714,1933,Astoria SD 1,Lewis & Clark Elementary School
2018-2019,147,3,40,0.2857142857142857,1933,Astoria SD 1,Lewis & Clark Elementary School
2018-2019,147,2,39,0.2785714285714286,1933,Astoria SD 1,Lewis & Clark Elementary School
2018-2019,147,1,39,0.2785714285714286,1933,Astoria SD 1,Lewis & Clark Elementary School
2018-2019,1053,4,4,0.0975609756097561,2208,Athena-Weston SD 29RJ,Athena Elementary School
2018-2019,1053,3,14,0.34146341463414637,2208,Athena-Weston SD 29RJ,Athena Elementary School
2018-2019,1053,2,11,0.2682926829268293,2208,Athena-Weston SD 29RJ,Athena Elementary School
2018-2019,1053,1,12,0.2926829268292683,2208,Athena-Weston SD 29RJ,Athena Elementary School
2018-2019,4728,4,7,0.0958904109589041,1894,Baker SD 5J,Baker Web Academy
2018-2019,4728,3,14,0.1917808219178082,1894,Baker SD 5J,Baker Web Academy
2018-2019,4728,2,23,0.3150684931506849,1894,Baker SD 5J,Baker Web Academy
2018-2019,4728,1,29,0.3972602739726027,1894,Baker SD 5J,Baker Web Academy
2018-2019,2,4,12,0.12244897959183673,1894,Baker SD 5J,Brooklyn Primary School
2018-2019,2,3,24,0.24489795918367346,1894,Baker SD 5J,Brooklyn Primary School
2018-2019,2,2,25,0.25510204081632654,1894,Baker SD 5J,Brooklyn Primary School
2018-2019,2,1,37,0.37755102040816324,1894,Baker SD 5J,Brooklyn Primary School
2018-2019,4,4,12,0.5714285714285714,1894,Baker SD 5J,Haines Elementary School
2018-2019,4,3,6,0.2857142857142857,1894,Baker SD 5J,Haines Elementary School
2018-2019,4,2,1,0.047619047619047616,1894,Baker SD 5J,Haines Elementary School
2018-2019,4,1,2,0.09523809523809523,1894,Baker SD 5J,Haines Elementary School
2018-2019,5,4,NA,NA,1894,Baker SD 5J,Keating Elementary School
2018-2019,5,3,NA,NA,1894,Baker SD 5J,Keating Elementary School
2018-2019,5,2,NA,NA,1894,Baker SD 5J,Keating Elementary School
2018-2019,5,1,NA,NA,1894,Baker SD 5J,Keating Elementary School
2018-2019,217,4,3,0.06382978723404255,1969,Bandon SD 54,Ocean Crest Elementary School
2018-2019,217,3,16,0.3404255319148936,1969,Bandon SD 54,Ocean Crest Elementary School
2018-2019,217,2,17,0.3617021276595745,1969,Bandon SD 54,Ocean Crest Elementary School
2018-2019,217,1,11,0.23404255319148937,1969,Bandon SD 54,Ocean Crest Elementary School
2018-2019,1120,4,13,0.16883116883116883,2240,Banks SD 13,Banks Elementary School
2018-2019,1120,3,17,0.22077922077922077,2240,Banks SD 13,Banks Elementary School
2018-2019,1120,2,24,0.3116883116883117,2240,Banks SD 13,Banks Elementary School
2018-2019,1120,1,23,0.2987012987012987,2240,Banks SD 13,Banks Elementary School
2018-2019,1153,4,18,0.1565217391304348,2243,Beaverton SD 48J,Aloha-Huber Park School
2018-2019,1153,3,33,0.28695652173913044,2243,Beaverton SD 48J,Aloha-Huber Park School
2018-2019,1153,2,28,0.24347826086956523,2243,Beaverton SD 48J,Aloha-Huber Park School
2018-2019,1153,1,36,0.3130434782608696,2243,Beaverton SD 48J,Aloha-Huber Park School
2018-2019,4805,4,14,0.2916666666666667,2243,Beaverton SD 48J,Arco Iris Spanish Immersion School
2018-2019,4805,3,12,0.25,2243,Beaverton SD 48J,Arco Iris Spanish Immersion School
2018-2019,4805,2,9,0.1875,2243,Beaverton SD 48J,Arco Iris Spanish Immersion School
2018-2019,4805,1,13,0.2708333333333333,2243,Beaverton SD 48J,Arco Iris Spanish Immersion School
2018-2019,1154,4,8,0.09302325581395349,2243,Beaverton SD 48J,Barnes Elementary School
2018-2019,1154,3,11,0.12790697674418605,2243,Beaverton SD 48J,Barnes Elementary School
2018-2019,1154,2,13,0.1511627906976744,2243,Beaverton SD 48J,Barnes Elementary School
2018-2019,1154,1,54,0.627906976744186,2243,Beaverton SD 48J,Barnes Elementary School
2018-2019,1155,4,19,0.17272727272727273,2243,Beaverton SD 48J,Beaver Acres Elementary School
2018-2019,1155,3,29,0.2636363636363636,2243,Beaverton SD 48J,Beaver Acres Elementary School
2018-2019,1155,2,25,0.22727272727272727,2243,Beaverton SD 48J,Beaver Acres Elementary School
2018-2019,1155,1,37,0.33636363636363636,2243,Beaverton SD 48J,Beaver Acres Elementary School
2018-2019,1156,4,58,0.6304347826086957,2243,Beaverton SD 48J,Bethany Elementary School
2018-2019,1156,3,20,0.21739130434782608,2243,Beaverton SD 48J,Bethany Elementary School
2018-2019,1156,2,7,0.07608695652173914,2243,Beaverton SD 48J,Bethany Elementary School
2018-2019,1156,1,7,0.07608695652173914,2243,Beaverton SD 48J,Bethany Elementary School
2018-2019,4671,4,55,0.49107142857142855,2243,Beaverton SD 48J,Bonny Slope Elementary School
2018-2019,4671,3,32,0.2857142857142857,2243,Beaverton SD 48J,Bonny Slope Elementary School
2018-2019,4671,2,11,0.09821428571428571,2243,Beaverton SD 48J,Bonny Slope Elementary School
2018-2019,4671,1,14,0.125,2243,Beaverton SD 48J,Bonny Slope Elementary School
2018-2019,1158,4,29,0.3918918918918919,2243,Beaverton SD 48J,Cedar Mill Elementary School
2018-2019,1158,3,23,0.3108108108108108,2243,Beaverton SD 48J,Cedar Mill Elementary School
2018-2019,1158,2,16,0.21621621621621623,2243,Beaverton SD 48J,Cedar Mill Elementary School
2018-2019,1158,1,6,0.08108108108108109,2243,Beaverton SD 48J,Cedar Mill Elementary School
2018-2019,1159,4,11,0.11702127659574468,2243,Beaverton SD 48J,Chehalem Elementary School
2018-2019,1159,3,32,0.3404255319148936,2243,Beaverton SD 48J,Chehalem Elementary School
2018-2019,1159,2,27,0.2872340425531915,2243,Beaverton SD 48J,Chehalem Elementary School
2018-2019,1159,1,24,0.2553191489361702,2243,Beaverton SD 48J,Chehalem Elementary School
2018-2019,1160,4,24,0.32,2243,Beaverton SD 48J,Cooper Mountain Elementary School
2018-2019,1160,3,28,0.37333333333333335,2243,Beaverton SD 48J,Cooper Mountain Elementary School
2018-2019,1160,2,10,0.13333333333333333,2243,Beaverton SD 48J,Cooper Mountain Elementary School
2018-2019,1160,1,13,0.17333333333333334,2243,Beaverton SD 48J,Cooper Mountain Elementary School
2018-2019,1162,4,36,0.28125,2243,Beaverton SD 48J,Elmonica Elementary School
2018-2019,1162,3,35,0.2734375,2243,Beaverton SD 48J,Elmonica Elementary School
2018-2019,1162,2,21,0.1640625,2243,Beaverton SD 48J,Elmonica Elementary School
2018-2019,1162,1,36,0.28125,2243,Beaverton SD 48J,Elmonica Elementary School
2018-2019,1161,4,22,0.3384615384615385,2243,Beaverton SD 48J,Errol Hassell Elementary School
2018-2019,1161,3,22,0.3384615384615385,2243,Beaverton SD 48J,Errol Hassell Elementary School
2018-2019,1161,2,15,0.23076923076923078,2243,Beaverton SD 48J,Errol Hassell Elementary School
2018-2019,1161,1,6,0.09230769230769231,2243,Beaverton SD 48J,Errol Hassell Elementary School
2018-2019,1370,4,89,0.7542372881355932,2243,Beaverton SD 48J,Findley Elementary
2018-2019,1370,3,23,0.19491525423728814,2243,Beaverton SD 48J,Findley Elementary
2018-2019,1370,2,4,0.03389830508474576,2243,Beaverton SD 48J,Findley Elementary
2018-2019,1370,1,2,0.01694915254237288,2243,Beaverton SD 48J,Findley Elementary
2018-2019,1163,4,10,0.15384615384615385,2243,Beaverton SD 48J,Fir Grove Elementary School
2018-2019,1163,3,24,0.36923076923076925,2243,Beaverton SD 48J,Fir Grove Elementary School
2018-2019,1163,2,14,0.2153846153846154,2243,Beaverton SD 48J,Fir Grove Elementary School
2018-2019,1163,1,17,0.26153846153846155,2243,Beaverton SD 48J,Fir Grove Elementary School
2018-2019,1157,4,5,0.09090909090909091,2243,Beaverton SD 48J,Greenway Elementary School
2018-2019,1157,3,13,0.23636363636363636,2243,Beaverton SD 48J,Greenway Elementary School
2018-2019,1157,2,21,0.38181818181818183,2243,Beaverton SD 48J,Greenway Elementary School
2018-2019,1157,1,16,0.2909090909090909,2243,Beaverton SD 48J,Greenway Elementary School
2018-2019,1164,4,26,0.3291139240506329,2243,Beaverton SD 48J,Hazeldale Elementary School
2018-2019,1164,3,19,0.24050632911392406,2243,Beaverton SD 48J,Hazeldale Elementary School
2018-2019,1164,2,16,0.20253164556962025,2243,Beaverton SD 48J,Hazeldale Elementary School
2018-2019,1164,1,18,0.22784810126582278,2243,Beaverton SD 48J,Hazeldale Elementary School
2018-2019,1165,4,35,0.33980582524271846,2243,Beaverton SD 48J,Hiteon Elementary School
2018-2019,1165,3,36,0.34951456310679613,2243,Beaverton SD 48J,Hiteon Elementary School
2018-2019,1165,2,25,0.24271844660194175,2243,Beaverton SD 48J,Hiteon Elementary School
2018-2019,1165,1,7,0.06796116504854369,2243,Beaverton SD 48J,Hiteon Elementary School
2018-2019,4867,4,22,0.4230769230769231,2243,Beaverton SD 48J,Hope Chinese Charter School
2018-2019,4867,3,21,0.40384615384615385,2243,Beaverton SD 48J,Hope Chinese Charter School
2018-2019,4867,2,6,0.11538461538461539,2243,Beaverton SD 48J,Hope Chinese Charter School
2018-2019,4867,1,3,0.057692307692307696,2243,Beaverton SD 48J,Hope Chinese Charter School
2018-2019,3437,4,NA,NA,2243,Beaverton SD 48J,Jacob Wismer Elementary School
2018-2019,3437,3,NA,NA,2243,Beaverton SD 48J,Jacob Wismer Elementary School
2018-2019,3437,2,NA,NA,2243,Beaverton SD 48J,Jacob Wismer Elementary School
2018-2019,3437,1,NA,NA,2243,Beaverton SD 48J,Jacob Wismer Elementary School
2018-2019,1166,4,20,0.21739130434782608,2243,Beaverton SD 48J,Kinnaman Elementary School
2018-2019,1166,3,23,0.25,2243,Beaverton SD 48J,Kinnaman Elementary School
